,Survived,Pclass,Sex,Embarked,Family,isAlone,Title,AgeBand,FareBand
95,0,3,1,2,1,1,10,2,1
96,0,1,1,0,1,1,10,6,3
97,1,1,1,0,2,0,10,1,3
98,1,2,0,2,2,0,11,2,2
99,0,2,1,2,2,0,10,2,2
100,0,3,0,2,1,1,9,2,0
101,0,3,1,2,1,1,10,2,0
102,0,1,1,2,2,0,10,1,3
103,0,3,1,2,1,1,10,2,1
104,0,3,1,2,3,0,10,3,1
105,0,3,1,2,1,1,10,2,0
106,1,3,0,2,1,1,9,1,0
107,1,3,1,2,1,1,10,2,0
108,0,3,1,2,1,1,10,3,0
109,1,3,0,1,2,0,9,2,2
110,0,1,1,2,1,1,10,4,3
111,0,3,0,0,2,0,9,1,1
112,0,3,1,2,1,1,10,1,1
113,0,3,0,2,2,0,9,1,1
114,0,3,0,0,1,1,9,1,2
115,0,3,1,2,1,1,10,1,1
116,0,3,1,1,1,1,10,6,0
117,0,2,1,2,2,0,10,2,2
118,0,1,1,0,2,0,10,2,3
119,0,3,0,2,7,0,9,0,3
120,0,2,1,2,3,0,10,1,3
121,0,3,1,2,1,1,10,2,1
122,0,2,1,0,2,0,10,2,2
123,1,2,0,2,1,1,9,2,1
124,0,1,1,2,2,0,10,4,3
125,1,3,1,0,2,0,8,1,1
126,0,3,1,1,1,1,10,2,0
127,1,3,1,2,1,1,10,2,0
128,1,3,0,0,3,0,9,2,2
129,0,3,1,2,1,1,10,3,0
130,0,3,1,0,1,1,10,2,0
131,0,3,1,2,1,1,10,1,0
132,0,3,0,2,2,0,11,4,2
133,1,2,0,2,2,0,11,2,2
134,0,2,1,2,1,1,10,2,1
135,0,2,1,0,1,1,10,1,2
136,1,1,0,2,3,0,9,1,2
137,0,1,1,2,2,0,10,3,3
138,0,3,1,2,1,1,10,1,1
139,0,1,1,0,1,1,10,2,3
140,0,3,0,0,3,0,11,2,2
141,1,3,0,2,1,1,9,1,0
142,1,3,0,2,2,0,11,2,2
143,0,3,1,1,1,1,10,1,0
144,0,2,1,2,1,1,10,1,1
145,0,2,1,2,3,0,10,1,3
146,1,3,1,2,1,1,10,2,0
147,0,3,0,2,5,0,9,0,3
148,0,2,1,2,3,0,10,3,2
149,0,2,1,2,1,1,12,3,1
150,0,2,1,2,1,1,12,4,1
151,1,1,0,2,2,0,11,1,3
152,0,3,1,2,1,1,10,4,1
153,0,3,1,2,3,0,10,3,2
154,0,3,1,2,1,1,10,2,0
155,0,1,1,0,2,0,10,4,3
156,1,3,0,1,1,1,9,1,0
157,0,3,1,2,1,1,10,2,1
158,0,3,1,2,1,1,10,2,1
159,0,3,1,2,11,0,8,2,3
160,0,3,1,2,2,0,10,3,2
161,1,2,0,2,1,1,11,3,2
162,0,3,1,2,1,1,10,2,0
163,0,3,1,2,1,1,10,1,1
164,0,3,1,2,6,0,8,0,3
165,1,3,1,2,3,0,8,0,2
166,1,1,0,2,2,0,11,2,3
167,0,3,0,2,6,0,11,3,2
168,0,1,1,2,1,1,10,2,2
169,0,3,1,2,1,1,10,2,3
170,0,1,1,2,1,1,10,5,3
171,0,3,1,1,6,0,8,0,2
172,1,3,0,2,3,0,9,0,1
173,0,3,1,2,1,1,10,1,1
174,0,1,1,0,1,1,10,4,2
175,0,3,1,2,3,0,10,1,0
176,0,3,1,2,5,0,8,2,2
177,0,1,0,0,1,1,9,4,2
178,0,2,1,2,1,1,10,2,1
179,0,3,1,2,1,1,10,3,0
180,0,3,0,2,11,0,9,2,3
181,0,2,1,0,1,1,10,2,2
182,0,3,1,2,7,0,8,0,3
183,1,2,1,2,4,0,8,0,3
184,1,3,0,2,3,0,9,0,2
185,0,1,1,2,1,1,10,2,3
186,1,3,0,1,2,0,11,2,2
187,1,1,1,2,1,1,10,3,2
188,0,3,1,1,3,0,10,3,2
189,0,3,1,2,1,1,10,3,0
190,1,2,0,2,1,1,11,2,1
191,0,2,1,2,1,1,10,1,1
192,1,3,0,2,2,0,9,1,0
193,1,2,1,2,3,0,8,0,2
194,1,1,0,0,1,1,11,3,2
195,1,1,0,0,1,1,9,5,3
196,0,3,1,1,1,1,10,2,0
197,0,3,1,2,2,0,10,3,1
198,1,3,0,1,1,1,9,2,0
199,0,2,0,2,1,1,9,2,1
200,0,3,1,2,1,1,10,2,1
201,0,3,1,2,11,0,10,2,3
202,0,3,1,2,1,1,10,2,0
203,0,3,1,0,1,1,10,3,0
204,1,3,1,2,1,1,10,1,1
205,0,3,0,2,2,0,9,0,1
206,0,3,1,2,2,0,10,2,2
207,1,3,1,0,1,1,10,2,2
208,1,3,0,1,1,1,9,1,0
209,1,1,1,0,1,1,10,3,2
210,0,3,1,2,1,1,10,2,0
211,1,2,0,2,1,1,9,3,2
212,0,3,1,2,1,1,10,1,0
213,0,2,1,2,1,1,10,2,1
214,0,3,1,1,2,0,10,2,0
215,1,1,0,0,2,0,9,2,3
216,1,3,0,2,1,1,9,2,1
217,0,2,1,2,2,0,10,3,2
218,1,1,0,0,1,1,9,2,3
219,0,2,1,2,1,1,10,2,1
220,1,3,1,2,1,1,10,1,1
221,0,2,1,2,1,1,10,2,1
222,0,3,1,2,1,1,10,4,1
223,0,3,1,2,1,1,10,2,0
224,1,1,1,2,2,0,10,3,3
225,0,3,1,2,1,1,10,1,1
226,1,2,1,2,1,1,10,1,1
227,0,3,1,2,1,1,10,1,0
228,0,2,1,2,1,1,10,1,1
229,0,3,0,2,5,0,9,2,2
230,1,1,0,2,2,0,11,3,3
231,0,3,1,2,1,1,10,2,0
232,0,2,1,2,1,1,10,5,1
233,1,3,0,2,7,0,9,0,3
234,0,2,1,2,1,1,10,2,1
235,0,3,0,2,1,1,9,2,0
236,0,2,1,2,2,0,10,3,2
237,1,2,0,2,3,0,9,0,2
238,0,2,1,2,1,1,10,1,1
239,0,2,1,2,1,1,10,2,1
240,0,3,0,0,2,0,9,2,1
241,1,3,0,1,2,0,9,2,2
242,0,2,1,2,1,1,10,2,1
243,0,3,1,2,1,1,10,1,0
244,0,3,1,0,1,1,10,2,0
245,0,1,1,1,3,0,4,3,3
246,0,3,0,2,1,1,9,2,0
247,1,2,0,2,3,0,11,2,2
248,1,1,1,2,3,0,10,3,3
249,0,2,1,2,2,0,12,4,2
250,0,3,1,2,1,1,10,2,0
251,0,3,0,2,3,0,11,2,1
252,0,1,1,2,1,1,10,5,2
253,0,3,1,2,2,0,10,2,2
254,0,3,0,2,3,0,11,3,2
255,1,3,0,0,3,0,11,2,2
256,1,1,0,0,1,1,11,2,3
257,1,1,0,2,1,1,9,2,3
258,1,1,0,0,1,1,9,3,3
259,1,2,0,2,2,0,11,4,2
260,0,3,1,1,1,1,10,2,0
261,1,3,1,2,7,0,8,0,3
262,0,1,1,2,3,0,10,4,3
263,0,1,1,2,1,1,10,3,0
264,0,3,0,1,1,1,9,2,0
265,0,2,1,2,1,1,10,3,1
266,0,3,1,2,6,0,10,1,3
267,1,3,1,2,2,0,10,2,0
268,1,1,0,2,2,0,11,5,3
269,1,1,0,2,1,1,9,3,3
270,0,1,1,2,1,1,10,2,2
271,1,3,1,2,1,1,10,2,0
272,1,2,0,2,2,0,11,3,2
273,0,1,1,0,2,0,10,3,2
274,1,3,0,1,1,1,9,2,0
275,1,1,0,2,2,0,9,5,3
276,0,3,0,2,1,1,9,3,0
277,0,2,1,2,1,1,10,2,0
278,0,3,1,1,6,0,8,0,2
279,1,3,0,2,3,0,11,3,2
280,0,3,1,1,1,1,10,5,0
281,0,3,1,2,1,1,10,2,0
282,0,3,1,2,1,1,10,1,1
283,1,3,1,2,1,1,10,1,1
284,0,1,1,2,1,1,10,2,2
285,0,3,1,0,1,1,10,2,1
286,1,3,1,2,1,1,10,2,1
287,0,3,1,2,1,1,10,1,0
288,1,2,1,2,1,1,10,3,1
289,1,3,0,1,1,1,9,1,0
290,1,1,0,2,1,1,9,2,3
291,1,1,0,0,2,0,11,1,3
292,0,2,1,0,1,1,10,3,1
293,0,3,0,2,1,1,9,2,1
294,0,3,1,2,1,1,10,2,0
295,0,1,1,0,1,1,10,2,2
296,0,3,1,0,1,1,10,2,0
297,0,1,0,2,4,0,9,0,3
298,1,1,1,2,1,1,10,2,2
299,1,1,0,0,2,0,11,4,3
300,1,3,0,1,1,1,9,2,0
301,1,3,1,1,3,0,10,2,2
302,0,3,1,2,1,1,10,1,0
303,1,2,0,1,1,1,9,2,1
304,0,3,1,2,1,1,10,2,1
305,1,1,1,2,4,0,8,0,3
306,1,1,0,0,1,1,9,2,3
307,1,1,0,0,2,0,11,1,3
308,0,2,1,0,2,0,10,2,2
309,1,1,0,0,1,1,9,2,3
310,1,1,0,0,1,1,9,2,3
311,1,1,0,0,5,0,9,1,3
312,0,2,0,2,3,0,11,2,2
313,0,3,1,2,1,1,10,2,0
314,0,2,1,2,3,0,10,3,2
315,1,3,0,2,1,1,9,2,0
316,1,2,0,2,2,0,11,2,2
317,0,2,1,2,1,1,4,4,1
318,1,1,0,2,3,0,9,2,3
319,1,1,0,0,3,0,11,3,3
320,0,3,1,2,1,1,10,1,0
321,0,3,1,2,1,1,10,2,0
322,1,2,0,1,1,1,9,2,1
323,1,2,0,2,3,0,11,1,2
324,0,3,1,2,11,0,10,2,3
325,1,1,0,0,1,1,9,3,3
326,0,3,1,2,1,1,10,5,0
327,1,2,0,2,1,1,11,3,1
328,1,3,0,2,3,0,11,2,2
329,1,1,0,0,2,0,9,1,3
330,1,3,0,1,3,0,9,2,2
331,0,1,1,2,1,1,10,3,2
332,0,1,1,2,2,0,10,3,3
333,0,3,1,2,3,0,10,1,2
334,1,1,0,2,2,0,11,2,3
335,0,3,1,2,1,1,10,2,0
336,0,1,1,2,2,0,10,2,3
337,1,1,0,0,1,1,9,3,3
338,1,3,1,2,1,1,10,3,1
339,0,1,1,2,1,1,10,3,3
340,1,2,1,2,3,0,8,0,2
341,1,1,0,2,6,0,9,2,3
342,0,2,1,2,1,1,10,2,1
343,0,2,1,2,1,1,10,2,1
344,0,2,1,2,1,1,10,3,1
345,1,2,0,2,1,1,9,2,1
346,1,2,0,2,1,1,9,3,1
347,1,3,0,2,2,0,11,2,2
348,1,3,1,2,3,0,8,0,2
349,0,3,1,2,1,1,10,3,1
350,0,3,1,2,1,1,10,1,1
351,0,1,1,2,1,1,10,2,3
352,0,3,1,0,3,0,10,1,0
353,0,3,1,2,2,0,10,2,2
354,0,3,1,0,1,1,10,2,0
355,0,3,1,2,1,1,10,2,1
356,1,1,0,2,2,0,9,1,3
357,0,2,0,2,1,1,9,3,1
358,1,3,0,1,1,1,9,2,0
359,1,3,0,1,1,1,9,2,0
360,0,3,1,2,6,0,10,3,2
361,0,2,1,0,2,0,10,2,2
362,0,3,0,0,2,0,11,3,1
363,0,3,1,2,1,1,10,3,0
364,0,3,1,1,2,0,10,2,2
365,0,3,1,2,1,1,10,2,0
366,1,1,0,0,2,0,11,5,3
367,1,3,0,0,1,1,11,2,0
368,1,3,0,1,1,1,9,2,0
369,1,1,0,0,1,1,11,2,3
370,1,1,1,0,2,0,10,2,3
371,0,3,1,2,2,0,10,1,0
372,0,3,1,2,1,1,10,1,1
373,0,1,1,0,1,1,10,1,3
374,0,3,0,2,5,0,9,0,2
375,1,1,0,0,2,0,11,2,3
376,1,3,0,2,1,1,9,1,0
377,0,1,1,0,3,0,10,2,3
378,0,3,1,0,1,1,10,1,0
379,0,3,1,2,1,1,10,1,0
380,1,1,0,0,1,1,9,3,3
381,1,3,0,0,3,0,9,0,2
382,0,3,1,2,1,1,10,2,1
383,1,1,0,2,2,0,11,3,3
384,0,3,1,2,1,1,10,2,0
385,0,2,1,2,1,1,10,1,3
386,0,3,1,2,8,0,8,0,3
387,1,2,0,2,1,1,9,3,1
388,0,3,1,1,1,1,10,2,0
389,1,2,0,0,1,1,9,1,1
390,1,1,1,2,4,0,10,3,3
391,1,3,1,2,1,1,10,1,0
392,0,3,1,2,3,0,10,2,1
393,1,1,0,0,2,0,9,1,3
394,1,3,0,2,3,0,11,2,2
395,0,3,1,2,1,1,10,1,0
396,0,3,0,2,1,1,9,2,0
397,0,2,1,2,1,1,10,4,2
398,0,2,1,2,1,1,4,1,1
399,1,2,0,2,1,1,11,2,1
400,1,3,1,2,1,1,10,3,1
401,0,3,1,2,1,1,10,2,1
402,0,3,0,2,2,0,9,1,1
403,0,3,1,2,2,0,10,2,2
404,0,3,0,2,1,1,9,1,1
405,0,2,1,2,2,0,10,2,2
406,0,3,1,2,1,1,10,4,0
407,1,2,1,2,3,0,8,0,2
408,0,3,1,2,1,1,10,1,0
409,0,3,0,2,5,0,9,2,2
410,0,3,1,2,1,1,10,2,0
411,0,3,1,1,1,1,10,2,0
412,1,1,0,1,2,0,9,2,3
413,0,2,1,2,1,1,10,2,0
414,1,3,1,2,1,1,10,3,1
415,0,3,0,2,1,1,11,2,1
416,1,2,0,2,3,0,11,2,3
417,1,2,0,2,3,0,9,1,1
418,0,2,1,2,1,1,10,2,1
419,0,3,0,2,3,0,9,0,2
420,0,3,1,0,1,1,10,2,0
421,0,3,1,1,1,1,10,1,0
422,0,3,1,2,1,1,10,2,0
423,0,3,0,2,3,0,11,2,1
424,0,3,1,2,3,0,10,1,2
425,0,3,1,2,1,1,10,2,0
426,1,2,0,2,2,0,11,2,2
427,1,2,0,2,1,1,9,1,2
428,0,3,1,1,1,1,10,2,0
429,1,3,1,2,1,1,10,2,1
430,1,1,1,2,1,1,10,2,2
431,1,3,0,2,2,0,11,2,2
432,1,2,0,2,2,0,11,3,2
433,0,3,1,2,1,1,10,1,0
434,0,1,1,2,2,0,10,4,3
435,1,1,0,2,4,0,9,1,3
436,0,3,0,2,5,0,9,1,3
437,1,2,0,2,6,0,11,2,2
438,0,1,1,2,6,0,10,5,3
439,0,2,1,2,1,1,10,2,1
440,1,2,0,2,3,0,11,3,2
441,0,3,1,2,1,1,10,1,1
442,0,3,1,2,2,0,10,2,0
443,1,2,0,2,1,1,9,2,1
444,1,3,1,2,1,1,10,2,1
445,1,1,1,2,3,0,8,0,3
446,1,2,0,2,2,0,9,1,2
447,1,1,1,2,1,1,10,2,2
448,1,3,0,0,4,0,9,0,2
449,1,1,1,2,1,1,7,4,2
450,0,2,1,2,4,0,10,3,2
451,0,3,1,2,2,0,10,2,2
452,0,1,1,0,1,1,10,2,2
453,1,1,1,0,2,0,10,4,3
454,0,3,1,2,1,1,10,2,1
455,1,3,1,0,1,1,10,2,0
456,0,1,1,2,1,1,10,5,2
457,1,1,0,2,2,0,11,2,3
458,1,2,0,2,1,1,9,4,1
459,0,3,1,1,1,1,10,2,0
460,1,1,1,2,1,1,10,4,2
461,0,3,1,2,1,1,10,2,1
462,0,1,1,2,1,1,10,4,3
463,0,2,1,2,1,1,10,4,1
464,0,3,1,2,1,1,10,2,1
465,0,3,1,2,1,1,10,3,0
466,0,2,1,2,1,1,10,2,0
467,0,1,1,2,1,1,10,4,2
468,0,3,1,1,1,1,10,2,0
469,1,3,0,0,4,0,9,0,2
470,0,3,1,2,1,1,10,2,0
471,0,3,1,2,1,1,10,3,1
472,1,2,0,2,4,0,11,2,2
473,1,2,0,0,1,1,11,1,1
474,0,3,0,2,1,1,9,1,1
475,0,1,1,2,1,1,10,2,3
476,0,2,1,2,2,0,10,2,2
477,0,3,1,2,2,0,10,2,0
478,0,3,1,2,1,1,10,1,0
479,1,3,0,2,2,0,9,0,1
480,0,3,1,2,8,0,8,0,3
481,0,2,1,2,1,1,10,2,0
482,0,3,1,2,1,1,10,4,1
483,1,3,0,2,1,1,11,5,1
484,1,1,1,0,2,0,10,2,3
485,0,3,0,2,5,0,9,2,2
486,1,1,0,2,2,0,11,3,3
487,0,1,1,0,1,1,10,5,2
488,0,3,1,2,1,1,10,2,1
489,1,3,1,2,3,0,8,0,2
490,0,3,1,2,2,0,10,2,2
491,0,3,1,2,1,1,10,1,0
492,0,1,1,2,1,1,10,4,2
493,0,1,1,0,1,1,10,6,3
494,0,3,1,2,1,1,10,1,1
495,0,3,1,0,1,1,10,2,2
496,1,1,0,0,2,0,9,4,3
497,0,3,1,2,1,1,10,2,2
498,0,1,0,2,4,0,11,2,3
499,0,3,1,2,1,1,10,2,0
500,0,3,1,2,1,1,10,1,1
501,0,3,0,1,1,1,9,1,0
502,0,3,0,1,1,1,9,2,0
503,0,3,0,2,1,1,9,3,1
504,1,1,0,2,1,1,9,1,3
505,0,1,1,0,2,0,10,1,3
506,1,2,0,2,3,0,11,2,2
507,1,1,1,2,1,1,10,2,2
508,0,3,1,2,1,1,10,2,2
509,1,3,1,2,1,1,10,2,3
510,1,3,1,1,1,1,10,2,0
511,0,3,1,2,1,1,10,2,1
512,1,1,1,2,1,1,10,3,2
513,1,1,0,0,2,0,11,4,3
514,0,3,1,2,1,1,10,2,0
515,0,1,1,2,1,1,10,4,3
516,1,2,0,2,1,1,11,2,1
517,0,3,1,1,1,1,10,2,2
518,1,2,0,2,2,0,11,3,2
519,0,3,1,2,1,1,10,2,0
520,1,1,0,2,1,1,9,2,3
521,0,3,1,2,1,1,10,1,0
522,0,3,1,0,1,1,10,2,0
523,1,1,0,0,2,0,11,3,3
524,0,3,1,0,1,1,10,2,0
525,0,3,1,1,1,1,10,3,0
526,1,2,0,2,1,1,9,4,1
527,0,1,1,2,1,1,10,2,3
528,0,3,1,2,1,1,10,3,1
529,0,2,1,2,4,0,10,1,1
530,1,2,0,2,3,0,9,0,2
531,0,3,1,0,1,1,10,2,0
532,0,3,1,0,3,0,10,1,0
533,1,3,0,0,3,0,11,2,2
534,0,3,0,2,1,1,9,2,1
535,1,2,0,2,3,0,9,0,2
536,0,1,1,2,1,1,7,3,2
537,1,1,0,0,1,1,9,2,3
538,0,3,1,2,1,1,10,2,2
539,1,1,0,0,3,0,9,1,3
540,1,1,0,2,3,0,9,3,3
541,0,3,0,2,7,0,9,0,3
542,0,3,0,2,7,0,9,0,3
543,1,2,1,2,2,0,10,2,2
544,0,1,1,0,2,0,10,4,3
545,0,1,1,2,1,1,10,5,2
546,1,2,0,2,2,0,11,1,2
547,1,2,1,0,1,1,10,2,1
548,0,3,1,2,3,0,10,2,2
549,1,2,1,2,3,0,8,0,3
550,1,1,1,0,3,0,10,1,3
551,0,2,1,2,1,1,10,2,2
552,0,3,1,1,1,1,10,2,0
553,1,3,1,0,1,1,10,1,0
554,1,3,0,2,1,1,9,1,0
555,0,1,1,2,1,1,10,5,2
556,1,1,0,0,2,0,6,4,3
557,0,1,1,0,1,1,10,2,3
558,1,1,0,2,3,0,11,3,3
559,1,3,0,2,2,0,11,3,2
560,0,3,1,1,1,1,10,2,0
561,0,3,1,2,1,1,10,3,0
562,0,2,1,2,1,1,10,2,1
563,0,3,1,2,1,1,10,2,1
564,0,3,0,2,1,1,9,2,1
565,0,3,1,2,3,0,10,2,2
566,0,3,1,2,1,1,10,1,0
567,0,3,0,2,5,0,11,2,2
568,0,3,1,0,1,1,10,2,0
569,1,3,1,2,1,1,10,2,0
570,1,2,1,2,1,1,10,5,1
571,1,1,0,2,3,0,11,4,3
572,1,1,1,2,1,1,10,3,2
573,1,3,0,1,1,1,9,2,0
574,0,3,1,2,1,1,10,1,1
575,0,3,1,2,1,1,10,1,2
576,1,2,0,2,1,1,9,2,1
577,1,1,0,2,2,0,11,3,3
578,0,3,0,0,2,0,11,2,2
579,1,3,1,2,1,1,10,2,1
580,1,2,0,2,3,0,9,2,2
581,1,1,0,0,3,0,11,3,3
582,0,2,1,2,1,1,10,4,2
583,0,1,1,0,1,1,10,3,3
584,0,3,1,0,1,1,10,2,1
585,1,1,0,2,3,0,9,1,3
586,0,2,1,2,1,1,10,4,2
587,1,1,1,0,3,0,10,5,3
588,0,3,1,2,1,1,10,1,1
589,0,3,1,2,1,1,10,2,1
590,0,3,1,2,1,1,10,3,0
591,1,1,0,0,2,0,11,4,3
592,0,3,1,2,1,1,10,4,0
593,0,3,0,1,3,0,9,2,0
594,0,2,1,2,2,0,10,3,2
595,0,3,1,2,3,0,10,3,2
596,1,2,0,2,1,1,9,2,3
597,0,3,1,2,1,1,10,4,0
598,0,3,1,0,1,1,10,2,0
599,1,1,1,0,2,0,13,4,3
600,1,2,0,2,4,0,11,2,2
601,0,3,1,2,1,1,10,2,0
602,0,1,1,2,1,1,10,2,3
603,0,3,1,2,1,1,10,3,1
604,1,1,1,0,1,1,10,3,2
605,0,3,1,2,2,0,10,3,2
606,0,3,1,2,1,1,10,2,0
607,1,1,1,2,1,1,10,2,2
608,1,2,0,0,4,0,11,1,3
609,1,1,0,2,1,1,9,3,3
610,0,3,0,2,7,0,11,3,3
611,0,3,1,2,1,1,10,2,0
612,1,3,0,1,2,0,9,2,2
613,0,3,1,1,1,1,10,2,0
614,0,3,1,2,1,1,10,3,1
615,1,2,0,2,4,0,9,2,3
616,0,3,1,2,3,0,10,2,1
617,0,3,0,2,2,0,11,2,2
618,1,2,0,2,4,0,9,0,3
619,0,2,1,2,1,1,10,2,1
620,0,3,1,0,2,0,10,2,1
621,1,1,1,2,2,0,10,3,3
622,1,3,1,0,3,0,10,1,2
623,0,3,1,2,1,1,10,1,0
624,0,3,1,2,1,1,10,1,2
625,0,1,1,2,1,1,10,5,3
626,0,2,1,1,1,1,12,4,1
627,1,1,0,2,1,1,9,1,3
628,0,3,1,2,1,1,10,2,0
629,0,3,1,1,1,1,10,2,0
630,1,1,1,2,1,1,10,6,2
631,0,3,1,2,1,1,10,4,0
632,1,1,1,0,1,1,4,2,2
633,0,1,1,2,1,1,10,2,0
634,0,3,0,2,6,0,9,0,2
635,1,2,0,2,1,1,9,2,1
636,0,3,1,2,1,1,10,2,1
637,0,2,1,2,3,0,10,2,2
638,0,3,0,2,6,0,11,3,3
639,0,3,1,2,2,0,10,2,2
640,0,3,1,2,1,1,10,1,0
641,1,1,0,0,1,1,9,2,3
642,0,3,0,2,6,0,9,0,2
643,1,3,1,2,1,1,10,2,3
644,1,3,0,0,4,0,9,0,2
645,1,1,1,0,2,0,10,4,3
646,0,3,1,2,1,1,10,1,0
647,1,1,1,0,1,1,1,4,3
648,0,3,1,2,1,1,10,2,0
649,1,3,0,2,1,1,9,1,0
650,0,3,1,2,1,1,10,2,0
651,1,2,0,2,2,0,9,1,2
652,0,3,1,2,1,1,10,1,1
653,1,3,0,1,1,1,9,2,0
654,0,3,0,1,1,1,9,1,0
655,0,2,1,2,3,0,10,2,3
656,0,3,1,2,1,1,10,2,0
657,0,3,0,1,3,0,11,2,2
658,0,2,1,2,1,1,10,1,1
659,0,1,1,0,3,0,10,5,3
660,1,1,1,2,3,0,4,4,3
661,0,3,1,0,1,1,10,3,0
662,0,1,1,2,1,1,10,4,2
663,0,3,1,2,1,1,10,3,0
664,1,3,1,2,2,0,10,1,1
665,0,2,1,2,3,0,10,2,3
666,0,2,1,2,1,1,10,2,1
667,0,3,1,2,1,1,10,2,0
668,0,3,1,2,1,1,10,3,1
669,1,1,0,2,2,0,11,2,3
670,1,2,0,2,3,0,11,3,3
671,0,1,1,2,2,0,10,2,3
672,0,2,1,2,1,1,10,6,1
673,1,2,1,2,1,1,10,2,1
674,0,2,1,2,1,1,10,2,0
675,0,3,1,2,1,1,10,1,0
676,0,3,1,2,1,1,10,2,1
677,1,3,0,2,1,1,9,1,1
678,0,3,0,2,8,0,11,3,3
679,1,1,1,0,2,0,10,3,3
680,0,3,0,1,1,1,9,2,1
681,1,1,1,0,1,1,10,2,3
682,0,3,1,2,1,1,10,1,1
683,0,3,1,2,8,0,10,1,3
684,0,2,1,2,3,0,10,5,3
685,0,2,1,0,4,0,10,2,3
686,0,3,1,2,6,0,10,1,3
687,0,3,1,2,1,1,10,1,1
688,0,3,1,2,1,1,10,1,0
689,1,1,0,2,2,0,9,1,3
690,1,1,1,2,2,0,10,2,3
691,1,3,0,0,2,0,9,0,1
692,1,3,1,2,1,1,10,2,3
693,0,3,1,0,1,1,10,2,0
694,0,1,1,2,1,1,1,5,2
